ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt,compound,score
1478808572142432256,"The food is in progress, and it is also in progress.Binance BTC DeFi ETH USDT NFTs  /etM3MlLcUD",Amber,10,0,4,Wed Jan 05 19:20:13 +0000 2022,0.4215,23.182499999999997
1478808572221956097,"RT : Bitcoin is harder, smarter, faster, and stronger.",Mined Control,94,1994,0,Wed Jan 05 19:20:13 +0000 2022,0.6808,64.676
1478808572834168834,"RT : Bitcoin BTC this is my current comments this line is bullish or bearish, i believe we are in a good area. /oA…",MetWeb2022,33,2,0,Wed Jan 05 19:20:13 +0000 2022,0.4404,14.973600000000001
1478808572846825474,RT : NEED a JOB?Sign up now /rMErDK45VPFREE. NO MIDDLEMENJob WomenWhoCode Programming Coding gamers indi…,Bills Bot,1039,12,0,Wed Jan 05 19:20:13 +0000 2022,-0.4466,-464.464
1478808574113558528,RT : 🥷 SHIBNOBI HEADING INTO 2022 ❤️💨💨💨💨💨🚀(LOOKING BULLISH!) shinja shibnobi crypto ShinjaIsTheNext1000XGem …,Thetechnopig,489,8,0,Wed Jan 05 19:20:13 +0000 2022,0.0,0.0
1478808576495964169,RT : NEED a JOB?Sign up now /rMErDK45VPFREE. NO MIDDLEMENJob WomenWhoCode Programming Coding gamers indi…,Another Programmer Bot,1687,12,0,Wed Jan 05 19:20:14 +0000 2022,-0.4466,-753.8608
1478808579977416704,RT : Ready for BabyDoge Break Ath .. Let's go 🥳🎉🪐🐕🚀🚀🚀BabyDogeCoin BNBBSC BTC BitcoinBabyDogeArmy BabyDogeFami…,Sinan Aydoğan,39,455,0,Wed Jan 05 19:20:15 +0000 2022,0.7783,31.131999999999998
1478808581931769861,"RT : Ripple/XRP-Walmart Metaverse,IBM/Stellar/Banks/SCs,Crypto $250Trillion Asset Class,XRP$0.45 or $4.50/VQy3j…",Joe,69,19,0,Wed Jan 05 19:20:15 +0000 2022,0.3612,25.284000000000002
1478808584708317188,RT : NEED a JOB?Sign up now /rMErDK45VPFREE. NO MIDDLEMENJob WomenWhoCode Programming Coding gamers indi…,xael bot,5516,12,0,Wed Jan 05 19:20:16 +0000 2022,-0.4466,-2463.8922
1478808585517903879,RT : Cheems 💎 cheems cheemsinu $cinu crypto bitcoin cheemsarmy Saitama btc ethereum eth currency xrp pr…,cryptosetter,164,4,0,Wed Jan 05 19:20:16 +0000 2022,0.0,0.0
1478808586633433090,RT : ⚡️🎁 MY FAVOURITE GIVEAWAY 🎁 4x $AVAX 🔺💁‍♀️💸 500 $$$ 💸1⃣Like and RT2⃣Follow ❤️‍🔥3⃣Tag 3 friends!🥂…,Jason unBourne 🔺⌛ 🐧,171,455,0,Wed Jan 05 19:20:16 +0000 2022,0.8478,145.8216
