ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt,compound,score
1478833601789644802,Who thinks we are going lower with bitcoin ?,NFTmachine444 🔺,34,0,1,Wed Jan 05 20:59:40 +0000 2022,-0.296,-20.72
1478833603639267328,"RT : 700,000,000 transactions have now been processed by the Bitcoin network.",Randy Carl,133,244,0,Wed Jan 05 20:59:41 +0000 2022,0.0,0.0
1478833603823898627,Each rise and fall refreshes my of the market cognize BITCOIN.,Da Vinci,2,0,3,Wed Jan 05 20:59:41 +0000 2022,0.0,0.0
1478833606969597952,"After a while, you learn to ignore other coins and just trust… /pIpTqnJL3F",soni,157,0,0,Wed Jan 05 20:59:41 +0000 2022,-0.3612,-57.0696
1478833609360424965,"👋 A new block was found on the Bitcoin network. We're at block height 717349, current bitcoin price is $44088.37… /tUmwN7C1Ow",satsleft.info,224,0,0,Wed Jan 05 20:59:42 +0000 2022,-0.3818,-85.90499999999999
1478833612938170372,"RT : Bitcoin in the low $40,000s is an absolute gift. Act accordingly.",⚡FWyine Magazine⚡₿,2020,190,0,Wed Jan 05 20:59:43 +0000 2022,0.2023,408.8483
1478833617367445507,BlueSparrowETH 🔥🚀 BlueSparrowtoken🚀🔥blusparrowbitcoin crypto  The Blue Sparro… /JVepirUqSd,闩尺从工力,140,0,0,Wed Jan 05 20:59:44 +0000 2022,-0.34,-47.940000000000005
1478833618881552385,RT : It's Now or Never ... Bump &amp; Run PatternBitcoin /ChM1yWKYG2,CryptoLab,3923,332,0,Wed Jan 05 20:59:44 +0000 2022,0.0,0.0
1478833623486844931,RT : This is the love ♥️ of Binance for . We are ready for the listing. list BabyDogeCoin Bitcoi…,mehdi,240,413,0,Wed Jan 05 20:59:45 +0000 2022,0.8979,216.3939
1478833626783436800,"After a while, you learn to ignore other coins and just trust… /QjrEhEpPje",soni,157,0,0,Wed Jan 05 20:59:46 +0000 2022,-0.3612,-57.0696
1478833627597361154,"Crypto community, post your new year's resolutions in the comments below and I will comment again in a year's time… /qkJGJ3Xbtx",₿lue Stitch (Andreas),1229,4,14,Wed Jan 05 20:59:46 +0000 2022,0.0,0.0
1478833627886673925,"Kazakhstan is one of the largest Bitcoin mining countries in the world, but you did not know that the internet wen… /sdeB7VHLU3",𝐝ᵉ 𝔽Ꭵ𝔫𝔠𝒾,3272,1,3,Wed Jan 05 20:59:46 +0000 2022,0.0,0.0
1478833628566196226,RT : 💥BREAKING: MoneyGram is getting into the Bitcoin game with an investment in Bitcoin ATM operator Coinme.,FutureMe,533,689,0,Wed Jan 05 20:59:47 +0000 2022,0.0,0.0
1478833628754837504,"RT : A new all-time high set for global hashrates! If history was a guide, we could be in for a bitcoin rally in the coming weeks…",Tassy Trader,29,1,0,Wed Jan 05 20:59:47 +0000 2022,0.0,0.0
